run_id,scenario_id,scenario_name,scenario_mode,htf_alignment_id,htf_alignment_mode,htf_alignment_value,break_even_id,break_even_mode,break_even_value,preset,tester_ini,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,daily_or_dd_stopped,gate_scope,passed_2025_shallow_gate
clean_first120__strict__be_1_1r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,strict,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__be_1_1r_2025.ini,23,9,0.391304347826087,32.63,262.81,-230.18,1.141758623685811,1.2678000000000003,0.05512173913043479,1.1307792288172311,76.00999999999999,0.7600999999999999,0.4292856203131168,8,0.34782608695652173,5,0.21739130434782608,1,0.043478260869565216,4,0.17391304347826086,10,0.43478260869565216,0.8230434782608695,0.8107086956521741,False,True,False
clean_first120__strict__be_30m_0_5r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,strict,strict_h4_h1_alignment,0,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__be_30m_0_5r_2025.ini,23,7,0.30434782608695654,36.42000000000001,199.89,-163.47,1.222793173059277,1.3648000000000002,0.059339130434782617,1.1967449437068434,68.80999999999999,0.6880999999999999,0.5292835343700045,6,0.2608695652173913,14,0.6086956521739131,7,0.30434782608695654,3,0.13043478260869565,7,0.30434782608695654,0.7187173913043479,0.7594391304347825,False,True,False
clean_first120__h4_bias_h1_rev__no_be,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__no_be_2025.ini,27,11,0.4074074074074074,-40.37999999999999,301.40999999999997,-341.78999999999996,0.8818572807864479,-1.6456999999999993,-0.060951851851851827,0.8850430992330154,150.04999999999998,1.5004999999999997,-0.26911029656781066,12,0.4444444444444444,0,0.0,0,0.0,6,0.2222222222222222,9,0.3333333333333333,0.469262962962963,0.5302148148148148,False,True,False
clean_first120__h4_bias_h1_rev__be_1_0r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_1_0r_2025.ini,27,11,0.4074074074074074,25.00999999999997,301.40999999999997,-276.40000000000003,1.0904848046309694,1.0620000000000007,0.03933333333333336,1.0914878403873156,119.91000000000001,1.1991,0.20857309648903316,10,0.37037037037037035,8,0.2962962962962963,2,0.07407407407407407,6,0.2222222222222222,9,0.3333333333333333,0.7783555555555554,0.8095703703703704,False,True,False
clean_first120__h4_bias_h1_rev__be_1_1r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_1_1r_2025.ini,27,11,0.4074074074074074,-10.24000000000003,301.40999999999997,-311.65000000000003,0.9671426279480184,-0.4116999999999992,-0.015248148148148118,0.9685287957314743,119.91000000000001,1.1991,-0.0853973813693606,11,0.4074074074074074,6,0.2222222222222222,1,0.037037037037037035,6,0.2222222222222222,9,0.3333333333333333,0.8011407407407406,0.8371407407407409,False,True,False
clean_first120__h4_bias_h1_rev__be_30m_0_5r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_30m_0_5r_2025.ini,27,9,0.3333333333333333,49.70999999999997,267.54,-217.83000000000004,1.2282054813386585,1.9581000000000022,0.07252222222222231,1.2131288503820452,119.91000000000001,1.1991,0.41456092069051764,8,0.2962962962962963,15,0.5555555555555556,7,0.25925925925925924,6,0.2222222222222222,6,0.2222222222222222,0.706088888888889,0.7777481481481481,False,True,False
clean_first120__h1_conf_h4_notopp__no_be,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__no_be_2025.ini,48,10,0.20833333333333334,-426.94,225.23,-652.1700000000002,0.3453547387950993,-18.461499999999997,-0.38461458333333326,0.34629425699241906,426.94,4.2694,-1.0,24,0.5,0,0.0,0,0.0,3,0.0625,21,0.4375,0.20374583333333338,0.5883604166666665,False,True,False
clean_first120__h1_conf_h4_notopp__be_1_0r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__be_1_0r_2025.ini,48,10,0.20833333333333334,-426.94,225.23,-652.1700000000002,0.3453547387950993,-18.461499999999997,-0.38461458333333326,0.34629425699241906,426.94,4.2694,-1.0,24,0.5,5,0.10416666666666667,0,0.0,3,0.0625,21,0.4375,0.5400749999999999,0.8379624999999997,False,True,False
clean_first120__h1_conf_h4_notopp__be_1_1r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__be_1_1r_2025.ini,48,10,0.20833333333333334,-426.94,225.23,-652.1700000000002,0.3453547387950993,-18.461499999999997,-0.38461458333333326,0.34629425699241906,426.94,4.2694,-1.0,24,0.5,5,0.10416666666666667,0,0.0,3,0.0625,21,0.4375,0.5490479166666664,0.8379624999999997,False,True,False
clean_first120__h1_conf_h4_notopp__be_30m_0_5r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.ini,48,6,0.125,-416.62999999999994,146.6,-563.2300000000001,0.26028443087193504,-18.094500000000004,-0.3769687500000001,0.259366135785945,416.62999999999994,4.166299999999999,-1.0,21,0.4375,16,0.3333333333333333,10,0.20833333333333334,2,0.041666666666666664,15,0.3125,0.4924124999999999,0.8161874999999998,False,True,False
clean_first120__soft__no_be,clean_first120,session_reversal_pullback_clean_target_path_first120,3,soft,htf_soft_alignment,3,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__no_be_2025.ini,53,17,0.32075471698113206,-336.6500000000001,366.0199999999999,-702.67,0.5208988572160473,-14.132599999999996,-0.2666528301886792,0.5277642262839577,340.7300000000001,3.4073000000000007,-0.9880257095060606,27,0.5094339622641509,0,0.0,0,0.0,7,0.1320754716981132,19,0.3584905660377358,0.29800754716981137,0.5646603773584905,False,True,False
clean_first120__soft__be_1_0r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,soft,htf_soft_alignment,3,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_1_0r_2025.ini,53,17,0.32075471698113206,-336.6500000000001,366.0199999999999,-702.67,0.5208988572160473,-14.132599999999996,-0.2666528301886792,0.5277642262839577,340.7300000000001,3.4073000000000007,-0.9880257095060606,27,0.5094339622641509,9,0.16981132075471697,0,0.0,7,0.1320754716981132,19,0.3584905660377358,0.5353830188679245,0.8907132075471698,False,True,False
clean_first120__soft__be_1_1r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,soft,htf_soft_alignment,3,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_1_1r_2025.ini,53,17,0.32075471698113206,-336.6500000000001,366.0199999999999,-702.67,0.5208988572160473,-14.132599999999996,-0.2666528301886792,0.5277642262839577,340.7300000000001,3.4073000000000007,-0.9880257095060606,27,0.5094339622641509,9,0.16981132075471697,0,0.0,7,0.1320754716981132,19,0.3584905660377358,0.5387924528301886,0.8907132075471698,False,True,False
clean_first120__soft__be_30m_0_5r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,soft,htf_soft_alignment,3,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_30m_0_5r_2025.ini,53,13,0.24528301886792453,-332.2500000000001,314.93,-647.18,0.4866188695571557,-14.0951,-0.26594528301886794,0.4880838236362316,336.3300000000001,3.363300000000001,-0.9878690571759879,25,0.4716981132075472,18,0.33962264150943394,7,0.1320754716981132,7,0.1320754716981132,14,0.2641509433962264,0.5006698113207546,0.8849207547169812,False,True,False
london_first120__strict__no_be,london_first120,london_first120_reference,6,strict,strict_h4_h1_alignment,0,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__no_be_2025.ini,26,16,0.6153846153846154,296.49000000000007,508.38000000000005,-211.88999999999996,2.3992637689367133,12.153100000000002,0.46742692307692313,2.386200839492654,94.47999999999999,0.9448,3.1381244707874694,8,0.3076923076923077,0,0.0,0,0.0,11,0.4230769230769231,7,0.2692307692307692,0.8046269230769231,0.33720000000000006,False,False,False
london_first120__strict__be_1_0r,london_first120,london_first120_reference,6,strict,strict_h4_h1_alignment,0,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__be_1_0r_2025.ini,26,14,0.5384615384615384,270.88,457.0,-186.11999999999998,2.4554051149795835,11.1277,0.4279884615384616,2.436629355642486,75.16,0.7515999999999999,3.6040447046301227,7,0.2692307692307692,11,0.4230769230769231,3,0.11538461538461539,10,0.38461538461538464,6,0.23076923076923078,1.0793576923076922,0.7495499999999999,False,False,False
london_first120__strict__be_1_1r,london_first120,london_first120_reference,6,strict,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__be_1_1r_2025.ini,26,16,0.6153846153846154,319.81,508.38000000000005,-188.57,2.695974969507345,13.181600000000001,0.5069846153846155,2.7033351854962726,75.16,0.7515999999999999,4.255055880787653,7,0.2692307692307692,9,0.34615384615384615,1,0.038461538461538464,11,0.4230769230769231,7,0.2692307692307692,1.0944,0.7560384615384615,False,False,False
london_first120__strict__be_30m_0_5r,london_first120,london_first120_reference,6,strict,strict_h4_h1_alignment,0,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__strict__be_30m_0_5r_2025.ini,26,12,0.46153846153846156,261.52,393.53000000000003,-132.01000000000002,2.981062040754488,10.782900000000001,0.41472692307692316,2.98583767656863,50.870000000000005,0.5087,5.140947513269117,5,0.19230769230769232,18,0.6923076923076923,8,0.3076923076923077,9,0.34615384615384615,4,0.15384615384615385,0.9886730769230768,0.6918692307692307,False,False,False
london_first120__h4_bias_h1_rev__no_be,london_first120,london_first120_reference,6,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__no_be_2025.ini,39,21,0.5384615384615384,242.80000000000004,646.89,-404.09000000000003,1.600856244895939,9.700000000000001,0.24871794871794875,1.5839539097821314,110.75999999999996,1.1075999999999995,2.1921271217045875,16,0.41025641025641024,0,0.0,0,0.0,15,0.38461538461538464,8,0.20512820512820512,0.6746384615384615,0.42592051282051274,False,False,False
london_first120__h4_bias_h1_rev__be_1_0r,london_first120,london_first120_reference,6,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_0r_2025.ini,39,21,0.5384615384615384,268.71999999999997,646.89,-378.17,1.7105798979295026,10.728500000000002,0.27508974358974364,1.6885011294794128,98.63,0.9863000000000001,2.7245260062861196,15,0.38461538461538464,14,0.358974358974359,1,0.02564102564102564,15,0.38461538461538464,8,0.20512820512820512,0.98174358974359,0.8538358974358976,False,False,False
london_first120__h4_bias_h1_rev__be_1_1r,london_first120,london_first120_reference,6,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_1r_2025.ini,39,21,0.5384615384615384,268.71999999999997,646.89,-378.17,1.7105798979295026,10.728500000000002,0.27508974358974364,1.6885011294794128,98.63,0.9863000000000001,2.7245260062861196,15,0.38461538461538464,12,0.3076923076923077,1,0.02564102564102564,15,0.38461538461538464,8,0.20512820512820512,0.9855307692307695,0.8538358974358976,False,False,False
london_first120__h4_bias_h1_rev__be_30m_0_5r,london_first120,london_first120_reference,6,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_30m_0_5r_2025.ini,39,18,0.46153846153846156,268.5,576.51,-308.01,1.871724943995325,10.8439,0.27804871794871794,1.8606816305797196,101.67999999999999,1.0168,2.640637293469709,12,0.3076923076923077,21,0.5384615384615384,7,0.1794871794871795,14,0.358974358974359,6,0.15384615384615385,0.9195641025641029,0.8073410256410256,False,False,False
london_first120__h1_conf_h4_notopp__no_be,london_first120,london_first120_reference,6,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__no_be_2025.ini,51,22,0.43137254901960786,139.14999999999995,736.4100000000001,-597.2600000000002,1.2329806114589958,5.653600000000001,0.11085490196078433,1.2249759249974135,228.86,2.2886,0.6080136327886041,23,0.45098039215686275,0,0.0,0,0.0,19,0.37254901960784315,9,0.17647058823529413,0.6035960784313725,0.49274117647058824,False,False,False
london_first120__h1_conf_h4_notopp__be_1_0r,london_first120,london_first120_reference,6,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_0r_2025.ini,51,21,0.4117647058823529,122.71999999999994,698.9200000000001,-576.2,1.2129816036098577,4.862300000000001,0.09533921568627453,1.1991448195643004,267.1,2.6710000000000003,0.4594533882441031,23,0.45098039215686275,17,0.3333333333333333,1,0.0196078431372549,18,0.35294117647058826,9,0.17647058823529413,0.8921098039215687,0.8031254901960786,False,False,False
london_first120__h1_conf_h4_notopp__be_1_1r,london_first120,london_first120_reference,6,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_1r_2025.ini,51,21,0.4117647058823529,122.71999999999994,698.9200000000001,-576.2,1.2129816036098577,4.862300000000001,0.09533921568627453,1.1991448195643004,267.1,2.6710000000000003,0.4594533882441031,23,0.45098039215686275,14,0.27450980392156865,1,0.0196078431372549,18,0.35294117647058826,9,0.17647058823529413,0.9037980392156862,0.8031254901960786,False,False,False
london_first120__h1_conf_h4_notopp__be_30m_0_5r,london_first120,london_first120_reference,6,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.ini,51,16,0.3137254901960784,54.020000000000024,550.9,-496.87999999999994,1.1087184028336823,2.1337000000000006,0.041837254901960795,1.1015854123024185,251.95,2.5195,0.21440762055963494,20,0.39215686274509803,28,0.5490196078431373,13,0.2549019607843137,15,0.29411764705882354,3,0.058823529411764705,0.7853882352941178,0.7569686274509805,False,False,False
london_first120__soft__no_be,london_first120,london_first120_reference,6,soft,htf_soft_alignment,3,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__no_be_2025.ini,114,52,0.45614035087719296,217.5499999999999,1584.3199999999997,-1366.77,1.1591708919569494,9.1068,0.0798842105263158,1.1625036134516757,210.37,2.1037,1.0341303417787702,51,0.4473684210526316,0,0.0,0,0.0,37,0.32456140350877194,26,0.22807017543859648,0.5714684210526315,0.49158421052631585,False,False,False
london_first120__soft__be_1_0r,london_first120,london_first120_reference,6,soft,htf_soft_alignment,3,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_0r_2025.ini,114,48,0.42105263157894735,131.50000000000006,1488.33,-1356.8300000000002,1.096917078779213,5.4867000000000035,0.048128947368421084,1.0984207335229978,208.62,2.0862000000000003,0.630332662256735,52,0.45614035087719296,32,0.2807017543859649,4,0.03508771929824561,35,0.30701754385964913,23,0.20175438596491227,0.8429561403508768,0.8534964912280706,False,False,False
london_first120__soft__be_1_1r,london_first120,london_first120_reference,6,soft,htf_soft_alignment,3,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_1r_2025.ini,114,48,0.42105263157894735,115.53999999999999,1488.33,-1372.7900000000002,1.0841643659991693,4.5935000000000015,0.04029385964912282,1.08109907027821,205.97000000000003,2.0597000000000003,0.5609554789532455,52,0.45614035087719296,24,0.21052631578947367,3,0.02631578947368421,35,0.30701754385964913,24,0.21052631578947367,0.8498385964912277,0.8592719298245618,False,False,False
london_first120__soft__be_30m_0_5r,london_first120,london_first120_reference,6,soft,htf_soft_alignment,3,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_30m_0_5r_2025.ini,114,40,0.3508771929824561,-71.86000000000004,1186.62,-1258.4800000000002,0.9428993706693787,-3.4086999999999987,-0.029900877192982445,0.9353187855787476,204.54000000000002,2.0454000000000003,-0.3513249242202016,49,0.4298245614035088,50,0.43859649122807015,19,0.16666666666666666,30,0.2631578947368421,16,0.14035087719298245,0.7389070175438598,0.8406508771929829,False,False,False
tokyo_first120__strict__no_be,tokyo_first120,tokyo_first120_reference,5,strict,strict_h4_h1_alignment,0,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__no_be_2025.ini,18,8,0.4444444444444444,10.309999999999988,230.59999999999997,-220.29000000000002,1.0468019428934583,0.4092000000000007,0.02273333333333337,1.0439183025125305,99.64,0.9964000000000001,0.10347250100361288,9,0.5,0,0.0,0,0.0,5,0.2777777777777778,4,0.2222222222222222,0.5403611111111111,0.5176277777777778,False,False,False
tokyo_first120__strict__be_1_0r,tokyo_first120,tokyo_first120_reference,5,strict,strict_h4_h1_alignment,0,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_0r_2025.ini,18,7,0.3888888888888889,-5.490000000000009,215.08999999999997,-220.58,0.9751110708133102,-0.2815999999999994,-0.015644444444444412,0.9698174685687948,99.64,0.9964000000000001,-0.0550983540746689,9,0.5,6,0.3333333333333333,1,0.05555555555555555,5,0.2777777777777778,3,0.16666666666666666,0.9042222222222223,0.7967,False,False,False
tokyo_first120__strict__be_1_1r,tokyo_first120,tokyo_first120_reference,5,strict,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_1r_2025.ini,18,8,0.4444444444444444,10.309999999999988,230.59999999999997,-220.29000000000002,1.0468019428934583,0.4092000000000007,0.02273333333333337,1.0439183025125305,99.64,0.9964000000000001,0.10347250100361288,9,0.5,4,0.2222222222222222,0,0.0,5,0.2777777777777778,4,0.2222222222222222,0.9114055555555556,0.7967,False,False,False
tokyo_first120__strict__be_30m_0_5r,tokyo_first120,tokyo_first120_reference,5,strict,strict_h4_h1_alignment,0,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_30m_0_5r_2025.ini,18,4,0.2222222222222222,-48.76,119.01999999999998,-167.78,0.7093813326975801,-2.0892999999999997,-0.1160722222222222,0.7050427760679898,119.98,1.1998,-0.406401066844474,7,0.3888888888888889,10,0.5555555555555556,7,0.3888888888888889,3,0.16666666666666666,1,0.05555555555555555,0.73445,0.6947555555555556,False,False,False
tokyo_first120__h4_bias_h1_rev__no_be,tokyo_first120,tokyo_first120_reference,5,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__no_be_2025.ini,30,13,0.43333333333333335,36.21999999999997,394.64000000000004,-358.42,1.101054628647955,1.2086000000000008,0.04028666666666669,1.0800386749844373,140.69,1.4069,0.25744544743762865,14,0.4666666666666667,0,0.0,0,0.0,9,0.3,7,0.23333333333333334,0.5436266666666667,0.50334,False,False,False
tokyo_first120__h4_bias_h1_rev__be_1_0r,tokyo_first120,tokyo_first120_reference,5,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_0r_2025.ini,30,12,0.4,44.979999999999976,379.13000000000005,-334.15000000000003,1.1346102049977556,1.5306000000000006,0.051020000000000024,1.1085531914893616,140.69,1.4069,0.3197100007107824,13,0.43333333333333335,9,0.3,2,0.06666666666666667,9,0.3,6,0.2,0.7953699999999999,0.7889133333333334,False,False,False
