enabled_conditions,condition_count,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,5,19,19,42.11,1.384,0.256,210.43,200.53,1.93,1.284,1.133,52.63,42.11,37.72,172.71,-57.73,268.16,5,4,2025-02:3;2025-08:2;2025-10:3;2026-Q1:11,AUDJPY:1;EURJPY:2;GBPUSD:3;USDJPY:8;XAUUSD:5,LONG:7;SHORT:12
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level,6,3,3,66.67,3.467,0.998,121.71,49.34,0.49,1.794,0.984,66.67,66.67,52.98,68.73,19.39,102.32,2,2,2025-02:1;2026-Q1:2,USDJPY:2;XAUUSD:1,LONG:2;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos,6,3,3,66.67,3.467,0.998,121.71,49.34,0.49,1.794,0.984,66.67,66.67,52.98,68.73,19.39,102.32,2,2,2025-02:1;2026-Q1:2,USDJPY:2;XAUUSD:1,LONG:2;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_true_bos_level;cond_m15_prev_extreme_bos,6,3,3,66.67,3.467,0.998,121.71,49.34,0.49,1.794,0.984,66.67,66.67,52.98,68.73,19.39,102.32,2,2,2025-02:1;2026-Q1:2,USDJPY:2;XAUUSD:1,LONG:2;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_true_bos_level;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_m15_prev_extreme_bos;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos,6,4,4,50.0,1.706,0.495,70.81,50.9,0.5,1.423,1.046,50.0,50.0,2.08,68.73,-31.51,102.32,2,3,2025-02:1;2025-08:1;2026-Q1:2,USDJPY:3;XAUUSD:1,LONG:3;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos,6,3,3,66.67,3.467,0.998,121.71,49.34,0.49,1.794,0.984,66.67,66.67,52.98,68.73,19.39,102.32,2,2,2025-02:1;2026-Q1:2,USDJPY:2;XAUUSD:1,LONG:2;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos,6,15,15,46.67,1.776,0.45,281.51,203.64,1.94,1.434,0.999,60.0,46.67,30.04,251.47,65.58,215.93,5,4,2025-02:2;2025-08:3;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;GBPUSD:3;USDJPY:7;XAUUSD:3,LONG:4;SHORT:11
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,6,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos;cond_room_to_2r,6,11,11,45.45,1.579,0.359,174.05,203.64,1.96,1.326,1.109,54.55,45.45,92.3,81.75,-3.15,177.2,5,3,2025-02:2;2025-10:1;2026-Q1:8,AUDJPY:1;EURJPY:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:8
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,11,11,45.45,1.579,0.359,174.05,203.64,1.96,1.326,1.109,54.55,45.45,92.3,81.75,-3.15,177.2,5,3,2025-02:2;2025-10:1;2026-Q1:8,AUDJPY:1;EURJPY:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:8
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,13,13,46.15,1.634,0.381,221.01,251.33,2.4,1.443,1.052,53.85,46.15,44.61,176.4,-50.84,271.85,5,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:4;SHORT:9
cond_h4_bias_ma;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,11,11,45.45,1.579,0.359,174.05,203.64,1.96,1.326,1.109,54.55,45.45,92.3,81.75,-3.15,177.2,5,3,2025-02:2;2025-10:1;2026-Q1:8,AUDJPY:1;EURJPY:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:8
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos,6,6,6,66.67,3.544,0.994,256.52,51.48,0.5,1.743,1.01,66.67,66.67,1.5,255.02,-32.09,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:4,USDJPY:3;XAUUSD:3,LONG:3;SHORT:3
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,6,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos;cond_room_to_2r,6,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,6,19,19,42.11,1.384,0.256,210.43,200.53,1.93,1.284,1.133,52.63,42.11,37.72,172.71,-57.73,268.16,5,4,2025-02:3;2025-08:2;2025-10:3;2026-Q1:11,AUDJPY:1;EURJPY:2;GBPUSD:3;USDJPY:8;XAUUSD:5,LONG:7;SHORT:12
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos,7,3,3,66.67,3.467,0.998,121.71,49.34,0.49,1.794,0.984,66.67,66.67,52.98,68.73,19.39,102.32,2,2,2025-02:1;2026-Q1:2,USDJPY:2;XAUUSD:1,LONG:2;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,7,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos;cond_room_to_2r,7,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,7,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,7,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,7,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,7,11,11,45.45,1.579,0.359,174.05,203.64,1.96,1.326,1.109,54.55,45.45,92.3,81.75,-3.15,177.2,5,3,2025-02:2;2025-10:1;2026-Q1:8,AUDJPY:1;EURJPY:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:8
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,7,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_prev_extreme_bos;cond_room_to_2r,8,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
